YEAR,ROUND,SEED,TEAM,SCORE,OPP_SEED,OPPONENT,OPP_SCORE,SCORE_DIFF,RESULT
1985,First Round,15,Middle Tennessee State,57,2,North Carolina,76,-19,LOSS
1985,Sweet 16,12,Kentucky,70,1,St. John's,86,-16,LOSS
1985,Second Round,5,Southern Methodist,57,4,Loyola (Ill.),70,-13,LOSS
1985,Elite Eight,2,North Carolina,44,8,Villanova,56,-12,LOSS
1985,First Round,13,Iowa State,64,4,Ohio State,75,-11,LOSS
1985,First Round,14,Nevada,56,3,North Carolina State,65,-9,LOSS
1985,First Round,10,Arizona,41,7,Alabama,50,-9,LOSS
1985,First Round,11,Wichita State,59,6,Georgia,67,-8,LOSS
1985,Second Round,1,Michigan,55,8,Villanova,59,-4,LOSS
1985,Second Round,2,Virginia Commonwealth,59,7,Alabama,63,-4,LOSS
1985,First Round,9,Virginia Tech,57,8,Temple,60,-3,LOSS
1985,First Round,8,Southern California,55,9,Illinois State,58,-3,LOSS
1985,Second Round,9,Arkansas,65,1,St. John's,68,-3,LOSS
1985,Sweet 16,5,Maryland,43,8,Villanova,46,-3,LOSS
1985,Second Round,3,Kansas,64,11,Auburn,66,-2,LOSS
1985,First Round,10,Michigan State,68,7,Alabama-Birmingham,70,-2,LOSS
1985,First Round,9,Dayton,49,8,Villanova,51,-2,LOSS
1985,Second Round,7,Notre Dame,58,2,North Carolina,60,-2,LOSS
1985,Second Round,3,Duke,73,11,Boston College,74,-1,LOSS
1985,First Round,6,Purdue,58,11,Auburn,59,-1,LOSS
1985,First Round,13,Iona,58,4,Loyola (Ill.),59,-1,LOSS
1985,First Round,5,Maryland,69,12,Miami (Ohio),68,1,WIN
1985,National Championship,8,Villanova,66,1,Georgetown,64,2,WIN
1985,First Round,8,Villanova,51,9,Dayton,49,2,WIN
1985,Second Round,2,North Carolina,60,7,Notre Dame,58,2,WIN
1985,Sweet 16,8,Villanova,46,5,Maryland,43,3,WIN
1985,Second Round,12,Kentucky,64,4,UNLV,61,3,WIN
1985,Second Round,8,Villanova,59,1,Michigan,55,4,WIN
1985,First Round,1,Michigan,59,16,Fairleigh Dickinson,55,4,WIN
1985,Second Round,5,Maryland,64,13,Navy,59,5,WIN
1985,Sweet 16,2,North Carolina,62,11,Auburn,56,6,WIN
1985,Final Four,8,Villanova,52,2,Memphis,45,7,WIN
1985,First Round,12,Kentucky,66,5,Washington,58,8,WIN
1985,First Round,9,Arkansas,63,8,Iowa,54,9,WIN
1985,First Round,7,Notre Dame,79,10,Oregon State,70,9,WIN
1985,First Round,3,Kansas,49,14,Ohio,38,11,WIN
1985,Elite Eight,8,Villanova,56,2,North Carolina,44,12,WIN
1985,First Round,3,Duke,75,14,Pepperdine,62,13,WIN
1985,First Round,2,Virginia Commonwealth,81,15,Marshall,65,16,WIN
1985,First Round,5,Southern Methodist,85,12,Old Dominion,68,17,WIN
1985,First Round,2,North Carolina,76,15,Middle Tennessee State,57,19,WIN
1986,First Round,12,Xavier,80,5,Alabama,97,-17,LOSS
1986,Sweet 16,3,North Carolina,79,2,Louisville,94,-15,LOSS
1986,Sweet 16,5,Michigan State,86,1,Kansas,96,-10,LOSS
1986,First Round,9,Arizona,63,8,Auburn,73,-10,LOSS
1986,First Round,7,Virginia Tech,62,10,Villanova,71,-9,LOSS
1986,First Round,9,West Virginia,64,8,Old Dominion,72,-8,LOSS
1986,First Round,6,Purdue,87,11,LSU,94,-7,LOSS
1986,First Round,3,Notre Dame,83,14,Arkansas-Little Rock,90,-7,LOSS
1986,Second Round,5,Maryland,64,4,UNLV,70,-6,LOSS
1986,Second Round,10,Villanova,61,2,Georgia Tech,66,-5,LOSS
1986,First Round,5,Virginia,68,12,DePaul,72,-4,LOSS
1986,Final Four,1,Kansas,67,1,Duke,71,-4,LOSS
1986,Sweet 16,7,Iowa State,66,6,North Carolina State,70,-4,LOSS
1986,National Championship,1,Duke,69,2,Louisville,72,-3,LOSS
1986,Second Round,2,Michigan,69,7,Iowa State,72,-3,LOSS
1986,Elite Eight,1,Kentucky,57,11,LSU,59,-2,LOSS
1986,First Round,5,Michigan State,72,12,Washington,70,2,WIN
1986,First Round,7,Iowa State,81,10,Miami (Ohio),79,2,WIN
1986,Second Round,7,Iowa State,72,2,Michigan,69,3,WIN
1986,National Championship,2,Louisville,72,1,Duke,69,3,WIN
1986,Final Four,1,Duke,71,1,Kansas,67,4,WIN
1986,Sweet 16,1,Kentucky,68,5,Alabama,63,5,WIN
1986,First Round,5,Maryland,69,12,Pepperdine,64,5,WIN
1986,First Round,2,Michigan,70,15,Akron,64,6,WIN
1986,Sweet 16,1,Duke,74,12,DePaul,67,7,WIN
1986,First Round,1,Duke,85,16,Mississippi Valley State,78,7,WIN
1986,Second Round,1,Kentucky,71,8,Western Kentucky,64,7,WIN
1986,Elite Eight,1,Kansas,75,6,North Carolina State,67,8,WIN
1986,Elite Eight,2,Louisville,84,8,Auburn,76,8,WIN
1986,First Round,10,Villanova,71,7,Virginia Tech,62,9,WIN
1986,Sweet 16,1,Kansas,96,5,Michigan State,86,10,WIN
1986,Final Four,2,Louisville,88,11,LSU,77,11,WIN
1986,Second Round,5,Michigan State,80,4,Georgetown,68,12,WIN
1986,First Round,3,North Carolina,84,14,Utah,72,12,WIN
1986,Second Round,2,Louisville,82,7,Bradley,68,14,WIN
1986,Sweet 16,2,Louisville,94,3,North Carolina,79,15,WIN
1986,Second Round,3,North Carolina,77,6,Alabama-Birmingham,59,18,WIN
1986,First Round,2,Louisville,93,15,Drexel,73,20,WIN
1986,First Round,1,Kentucky,75,16,Davidson,55,20,WIN
1986,Elite Eight,1,Duke,71,7,Navy,50,21,WIN
1986,Second Round,1,Kansas,65,9,Temple,43,22,WIN
1986,First Round,1,Kansas,71,16,North Carolina A&T,46,25,WIN
1986,Second Round,1,Duke,89,8,Old Dominion,61,28,WIN
1987,Second Round,7,New Orleans,76,2,Alabama,101,-25,LOSS
1987,Second Round,7,New Orleans,76,2,Alabama,101,-25,LOSS
1987,First Round,16,Bucknell,53,1,Georgetown,75,-22,LOSS
1987,Second Round,3,Purdue,66,6,Florida,85,-19,LOSS
