,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,2010-11-29,Virginia Military Institute,,Central Pennsylvania College,W 151-92,200,54,94,0.574,33,46,0.717,21,48,0.438,22,34,0.647,151
2,2016-11-13,Citadel,,Johnson University,W 146-84,200,47,106,0.443,30,56,0.536,17,50,0.34,35,41,0.854,146
3,2015-11-14,Butler,,Citadel,W 144-71,200,56,88,0.636,48,62,0.774,8,26,0.308,24,33,0.727,144
4,2016-12-07,Citadel,,Toccoa Falls,W 144-94,200,45,90,0.5,26,44,0.591,19,46,0.413,35,40,0.875,144
5,2012-01-17,Western Carolina,,Toccoa Falls,W 141-39,200,51,88,0.58,42,62,0.677,9,26,0.346,30,37,0.811,141
6,2015-11-13,Chicago State,,Illinois Tech,W 137-59,200,56,91,0.615,48,73,0.658,8,18,0.444,17,31,0.548,137
7,2013-01-03,Southern Mississippi,,Dillard,W 135-41,200,51,90,0.567,33,54,0.611,18,36,0.5,15,16,0.938,135
8,2016-11-11,Troy,,Toccoa Falls,W 135-76,200,51,84,0.607,32,46,0.696,19,38,0.5,14,20,0.7,135
9,2014-12-02,Virginia Military Institute,,Mid-Atlantic Christian,W 133-62,200,54,105,0.514,39,48,0.813,15,57,0.263,10,21,0.476,133
10,2015-11-19,Citadel,,Mid-Atlantic Christian,W 132-60,200,49,73,0.671,30,39,0.769,19,34,0.559,15,23,0.652,132
11,2017-02-09,Wofford,,Samford,W 131-127 (4OT),300,41,92,0.446,28,57,0.491,13,35,0.371,36,44,0.818,131
12,2013-11-08,Charleston Southern,,Johnson University,W 130-51,200,50,72,0.694,37,41,0.902,13,31,0.419,17,19,0.895,130
13,2016-11-20,Iowa State,,Citadel,W 130-63,200,52,86,0.605,44,64,0.688,8,22,0.364,18,26,0.692,130
14,2017-02-04,Eastern Washington,,Portland State,W 130-124 (3OT),275,44,78,0.564,36,58,0.621,8,20,0.4,34,43,0.791,130
15,2013-11-08,Utah,,Evergreen State,W 128-44,200,42,66,0.636,34,48,0.708,8,18,0.444,36,48,0.75,128
16,2014-01-04,Virginia Military Institute,,Washington College,W 128-54,200,43,68,0.632,29,42,0.69,14,26,0.538,28,33,0.848,128
17,2014-12-15,Lamar,,Champion Baptist,W 128-54,200,56,87,0.644,51,70,0.729,5,17,0.294,11,17,0.647,128
18,2015-12-22,San Jose State,,Life Pacific,W 128-66,200,44,76,0.579,35,58,0.603,9,18,0.5,31,35,0.886,128
19,2016-11-11,Weber State,,Antelope Valley,W 128-65,200,48,69,0.696,32,45,0.711,16,24,0.667,16,23,0.696,128
20,2016-12-03,Oregon,,Savannah State,W 128-59,200,54,90,0.6,42,55,0.764,12,35,0.343,8,11,0.727,128
21,2012-11-10,Northern Colorado,,University of the Southwest,W 127-81,200,47,66,0.712,36,46,0.783,11,20,0.55,22,32,0.688,127
22,2014-01-03,Central Michigan,,Marygrove,W 127-44,200,47,74,0.635,35,53,0.66,12,21,0.571,21,26,0.808,127
23,2015-12-18,Idaho,,New Hope Christian,W 127-54,200,53,89,0.596,34,46,0.739,19,43,0.442,2,2,1,127
24,2016-11-23,Arizona State,,Citadel,W 127-110,200,42,78,0.538,27,47,0.574,15,31,0.484,28,37,0.757,127
25,2017-02-09,Samford,@,Wofford,L 127-131 (4OT),300,43,82,0.524,29,55,0.527,14,27,0.519,27,32,0.844,127
26,2010-11-24,Texas State,,Our Lady of the Lake,L 126-127 (OT),225,43,82,0.524,36,63,0.571,7,19,0.368,33,55,0.6,126
27,2011-11-16,North Carolina-Asheville,,Mars Hill,W 126-75,200,49,86,0.57,38,61,0.623,11,25,0.44,17,25,0.68,126
28,2013-12-19,Elon,,Central Pennsylvania College,W 126-78,200,51,87,0.586,42,60,0.7,9,27,0.333,15,18,0.833,126
29,2014-01-04,Louisiana Tech,,Longwood,W 126-52,200,42,76,0.553,25,41,0.61,17,35,0.486,25,32,0.781,126
30,2014-11-26,Iona,,Delaware State,W 126-76,200,41,71,0.577,17,32,0.531,24,39,0.615,20,22,0.909,126
31,2015-11-15,Eastern Washington,,George Fox,W 126-64,200,50,79,0.633,41,54,0.759,9,25,0.36,17,27,0.63,126
32,2016-01-02,IPFW,,Purdue North Central,W 126-95,200,52,72,0.722,40,54,0.741,12,18,0.667,10,13,0.769,126
33,2016-12-03,North Carolina-Wilmington,,Pfeiffer,W 126-113,200,42,70,0.6,32,48,0.667,10,22,0.455,32,49,0.653,126
34,2016-12-21,Lamar,,Arlington Baptist,W 126-75,200,46,78,0.59,34,51,0.667,12,27,0.444,22,31,0.71,126
35,2017-01-05,Lipscomb,,Fisk,W 126-43,200,41,77,0.532,19,28,0.679,22,49,0.449,22,30,0.733,126
36,2010-12-20,Coastal Carolina,,Thomas More,W 125-70,200,47,73,0.644,34,50,0.68,13,23,0.565,18,26,0.692,125
37,2015-01-02,Central Michigan,,Central Pennsylvania College,W 125-80,200,48,84,0.571,32,46,0.696,16,38,0.421,13,17,0.765,125
38,2015-11-19,Gardner-Webb,,Toccoa Falls,W 125-79,200,50,77,0.649,39,55,0.709,11,22,0.5,14,22,0.636,125
39,2015-12-13,Milwaukee,,Judson,W 125-74,200,47,75,0.627,37,57,0.649,10,18,0.556,21,28,0.75,125
40,2016-02-01,Chattanooga,,Citadel,W 125-85,200,39,71,0.549,29,40,0.725,10,31,0.323,37,47,0.787,125
41,2011-12-28,Nevada-Las Vegas,,Central Arkansas,W 124-75,200,47,70,0.671,29,38,0.763,18,32,0.563,12,15,0.8,124
42,2013-12-28,Utah,,St. Katherine,W 124-51,200,49,73,0.671,40,52,0.769,9,21,0.429,17,22,0.773,124
43,2014-02-22,Abilene Christian,,Southwestern Adventist,W 124-57,200,49,79,0.62,28,45,0.622,21,34,0.618,5,8,0.625,124
44,2014-11-18,Virginia Military Institute,,Johnson University,W 124-42,200,43,82,0.524,22,36,0.611,21,46,0.457,17,24,0.708,124
45,2017-01-03,Jacksonville,,Middle Georgia State,W 124-85,200,46,77,0.597,25,43,0.581,21,34,0.618,11,12,0.917,124
46,2017-02-04,Portland State,@,Eastern Washington,L 124-130 (3OT),275,45,84,0.536,34,58,0.586,11,26,0.423,23,36,0.639,124
47,2010-12-11,Lamar,,Huston-Tillotson,W 123-79,200,40,80,0.5,30,58,0.517,10,22,0.455,33,39,0.846,123
48,2012-01-12,Houston Baptist,,Crowley's Ridge,W 123-43,200,49,86,0.57,43,70,0.614,6,16,0.375,19,22,0.864,123
49,2014-11-18,North Carolina Central,,College of Faith,W 123-65,200,44,70,0.629,35,54,0.648,9,16,0.563,26,38,0.684,123
50,2015-11-23,Kansas,N,Chaminade,W 123-72,200,47,73,0.644,32,44,0.727,15,29,0.517,14,20,0.7,123
51,2015-12-27,Radford,,Central Pennsylvania College,W 123-63,200,51,85,0.6,40,55,0.727,11,30,0.367,10,12,0.833,123
52,2010-12-13,South Dakota,,Tabor College,W 122-71,200,47,73,0.644,36,50,0.72,11,23,0.478,17,24,0.708,122
53,2011-12-10,Virginia Military Institute,,Milligan,W 122-73,200,38,59,0.644,26,34,0.765,12,25,0.48,34,47,0.723,122
54,2013-11-13,Holy Cross,,Sacred Heart,W 122-118 (2OT),250,33,70,0.471,22,47,0.468,11,23,0.478,45,56,0.804,122
55,2013-12-28,Charleston Southern,,St. Andrews,W 122-40,200,38,57,0.667,18,24,0.75,20,33,0.606,26,34,0.765,122
56,2015-11-23,Detroit Mercy,,Michigan-Dearborn,W 122-70,200,39,68,0.574,24,41,0.585,15,27,0.556,29,39,0.744,122
57,2016-01-02,Tennessee-Martin,,Boyce,W 122-60,200,44,78,0.564,28,38,0.737,16,40,0.4,18,24,0.75,122
58,2010-11-23,Saint Mary's (CA),,Chicago State,W 121-52,200,43,74,0.581,30,42,0.714,13,32,0.406,22,28,0.786,121
59,2013-11-16,Virginia Military Institute,,Bluefield State,W 121-80,200,38,81,0.469,21,45,0.467,17,36,0.472,28,35,0.8,121
60,2013-12-17,Marshall,,Alice Lloyd,W 121-57,200,44,68,0.647,29,42,0.69,15,26,0.577,18,22,0.818,121
61,2013-12-30,Central Arkansas,,Ecclesia,W 121-77,200,50,89,0.562,45,68,0.662,5,21,0.238,16,26,0.615,121
62,2014-11-25,Brigham Young,N,Chaminade,W 121-85,200,41,74,0.554,24,45,0.533,17,29,0.586,22,26,0.846,121
63,2014-11-29,Morehead State,,Kentucky Christian,W 121-49,200,49,77,0.636,39,57,0.684,10,20,0.5,13,26,0.5,121
64,2015-11-27,Citadel,N,Bob Jones University,W 121-81,213,46,89,0.517,33,55,0.6,13,34,0.382,16,23,0.696,121
