NAME,ELO,YEAR
Villanova,2307.77381526,2017.0
Kentucky,2279.3740232,2015.0
Kansas,2250.90277565,2017.0
Kansas,2247.9838785,2016.0
Arizona,2242.1727162,2017.0
Kentucky,2222.50772873,2017.0
Oregon,2206.9068132,2017.0
Gonzaga,2203.52274901,2017.0
Michigan State,2195.44822536,2016.0
North Carolina,2195.16906465,2017.0
Duke,2194.62694074,2017.0
Villanova,2194.16359889,2015.0
Wisconsin,2193.10509312,2015.0
Arizona,2189.66831802,2015.0
North Carolina,2177.41161902,2016.0
Florida,2166.48824699,2014.0
Villanova,2165.66446411,2016.0
Duke,2159.30722571,2015.0
Southern Methodist,2159.15096605,2017.0
Oregon,2158.84607299,2016.0
Virginia,2155.26037464,2016.0
Virginia,2148.48159077,2015.0
UCLA,2142.60652155,2017.0
Kentucky,2139.14504711,2016.0
Louisville,2131.39045137,2014.0
Louisville,2126.46615708,2017.0
Gonzaga,2125.86757086,2015.0
Wichita State,2120.95592055,2014.0
Wichita State,2111.73905034,2017.0
Notre Dame,2111.58934627,2017.0
Iowa State,2110.30010533,2017.0
Utah,2106.0679508,2016.0
West Virginia,2094.83468081,2017.0
Purdue,2094.68248058,2017.0
Louisville,2093.38960105,2013.0
Virginia,2092.13156057,2017.0
Arizona,2087.87582271,2016.0
Xavier,2087.04215077,2016.0
West Virginia,2085.54611704,2016.0
Michigan,2085.49809981,2017.0
Iowa State,2082.43225786,2015.0
Oklahoma,2078.49693657,2016.0
Notre Dame,2078.38231272,2015.0
Louisville,2074.77444346,2016.0
Miami (FL),2072.45560869,2016.0
Michigan,2068.42616423,2014.0
Virginia,2066.65797276,2014.0
Saint Mary's (CA),2065.37196616,2017.0
Duke,2063.19210429,2016.0
Ohio State,2062.20954933,2013.0
Kansas,2062.12859138,2013.0
Wichita State,2060.27930724,2015.0
Seton Hall,2059.62618949,2016.0
Florida State,2057.0649226,2017.0
Seton Hall,2056.85018279,2017.0
Cincinnati,2056.80362447,2017.0
Baylor,2056.27686621,2017.0
Gonzaga,2055.86522009,2013.0
Miami (FL),2055.81959558,2017.0
Southern Methodist,2055.60321223,2015.0
Purdue,2050.21111549,2016.0
Kentucky,2047.90138317,2012.0
Gonzaga,2047.23701784,2016.0
Duke,2044.23752982,2014.0
Butler,2043.9488243,2017.0
Wisconsin,2041.59869294,2017.0
New Mexico,2040.19617444,2014.0
Kansas,2039.64853433,2015.0
Louisville,2039.30645347,2015.0
Arizona,2035.67873997,2014.0
Iowa State,2035.22941002,2014.0
Wisconsin,2034.84067339,2016.0
Florida,2034.43918727,2017.0
Indiana,2032.02863448,2016.0
Villanova,2027.87658815,2014.0
North Carolina,2023.22350618,2015.0
Maryland,2022.55841796,2015.0
Memphis,2018.91982236,2013.0
University of California,2018.4909664,2016.0
Oregon,2018.04871808,2015.0
Syracuse,2017.86182027,2014.0
San Diego State,2017.79590633,2014.0
Michigan State,2017.64884251,2015.0
Arkansas,2017.44029451,2017.0
Virginia Tech,2017.01304042,2017.0
Texas A&M,2015.35201149,2016.0
Southern Methodist,2014.33882605,2016.0
Michigan State,2010.77486231,2014.0
Creighton,2010.48638939,2017.0
New Mexico,2010.01944955,2013.0
Maryland,2009.83981959,2016.0
Notre Dame,2009.35803602,2016.0
Nevada,2005.61462731,2017.0
Kansas,2003.18171719,2014.0
Syracuse,2002.92638002,2012.0
Baylor,2002.79377066,2015.0
Wisconsin,2002.14839218,2014.0
Oklahoma,1996.79655995,2015.0
Providence,1996.17530231,2017.0
Arkansas,1992.06091021,2015.0
Connecticut,1991.64827555,2014.0
Saint Louis,1990.98953299,2013.0
Illinois State,1990.75122385,2017.0
Baylor,1989.5413579,2016.0
Maryland,1989.4051668,2017.0
Gonzaga,1989.1285733,2014.0
Duke,1985.24918348,2013.0
Vanderbilt,1983.99657364,2017.0
Northern Iowa,1983.58162737,2015.0
Kansas,1982.16005352,2012.0
Rhode Island,1981.77800312,2017.0
Texas,1980.88474787,2016.0
Wichita State,1980.54370133,2016.0
North Carolina,1979.95521745,2014.0
Georgetown,1979.84803382,2013.0
Minnesota,1978.65925292,2017.0
Indiana,1978.30882482,2013.0
Cincinnati,1977.20553183,2014.0
Middle Tennessee,1975.72632806,2017.0
Connecticut,1975.37636949,2016.0
Virginia Commonwealth,1974.70829818,2017.0
Butler,1973.3128554,2016.0
Stephen F. Austin,1973.11619748,2015.0
Ohio State,1972.84416264,2014.0
Providence,1972.68613081,2016.0
UCLA,1972.39592984,2014.0
San Diego State,1970.50956948,2015.0
Iowa State,1967.76361147,2016.0
North Carolina,1967.69312317,2012.0
Oklahoma State,1967.41910476,2017.0
Syracuse,1965.59283857,2017.0
Baylor,1964.76930572,2014.0
Utah,1964.15453082,2017.0
Miami (FL),1963.60634481,2013.0
Michigan State,1962.66219861,2013.0
Ohio State,1962.26808905,2016.0
Missouri,1962.04035527,2012.0
Creighton,1961.7367804,2014.0
Stephen F. Austin,1961.06869025,2016.0
Michigan State,1959.59903119,2017.0
University of California,1959.24358785,2017.0
Southern California,1958.53095474,2017.0
Dayton,1958.47912296,2017.0
Marquette,1957.51158931,2017.0
Xavier,1957.37815865,2017.0
Kansas State,1957.03476659,2013.0
Virginia Commonwealth,1956.45081438,2015.0
Syracuse,1953.17361086,2013.0
San Diego State,1948.78641964,2016.0
Northwestern,1948.53236628,2017.0
Georgetown,1943.93904057,2015.0
Saint Joseph's,1943.82218191,2016.0
Dayton,1943.48753593,2016.0
Memphis,1942.52191291,2014.0
Saint Mary's (CA),1941.8059955,2016.0
Northern Iowa,1940.54482938,2016.0
North Carolina,1938.84127208,2013.0
Virginia Commonwealth,1938.70996381,2014.0
Utah,1938.1640855,2015.0
Ohio State,1936.02148785,2015.0
Wake Forest,1935.37458798,2017.0
West Virginia,1934.46183394,2015.0
Temple,1933.69579917,2016.0
Marquette,1933.34058777,2013.0
Oregon,1933.3035018,2014.0
Michigan,1932.93548686,2016.0
Xavier,1932.08296053,2015.0
Ohio State,1930.31011294,2012.0
Michigan State,1929.5333748,2012.0
Iowa,1929.31379076,2016.0
Saint Louis,1929.21923659,2014.0
Saint Mary's (CA),1928.67151488,2013.0
Iowa,1928.57410911,2017.0
Providence,1928.56048199,2015.0
North Carolina-Wilmington,1927.91687341,2017.0
Fresno State,1927.71979538,2016.0
Brigham Young,1926.64479524,2015.0
Wisconsin,1926.35277394,2013.0
Georgia,1926.15297601,2017.0
Kentucky,1925.8417163,2014.0
Indiana,1925.74691278,2017.0
Florida,1924.98990307,2013.0
Connecticut,1924.59650031,2015.0
Princeton,1924.49710983,2017.0
UCLA,1922.5428694,2015.0
Georgia,1922.13826619,2016.0
Kansas State,1922.05833206,2017.0
Virginia Commonwealth,1921.19200842,2016.0
Oklahoma,1920.01803029,2014.0
Kansas,1919.42223945,2011.0
Colorado,1919.10908869,2016.0
North Carolina State,1918.74249462,2015.0
Cincinnati,1918.28303059,2016.0
Pittsburgh,1917.98257586,2014.0
Virginia Commonwealth,1917.40648174,2013.0
Colorado,1913.95768807,2017.0
Providence,1913.71613814,2014.0
Duke,1912.42604345,2012.0
St. John's (NY),1912.11775694,2015.0
Murray State,1911.93266925,2012.0
Stephen F. Austin,1910.8193348,2014.0
Georgia,1910.79981059,2015.0
Cincinnati,1909.70336936,2015.0
Notre Dame,1909.69932905,2013.0
Iowa,1909.47524226,2015.0
Colorado State,1908.26410839,2015.0
Michigan,1907.57193058,2013.0
Florida State,1907.41033096,2012.0
Tulsa,1906.98046411,2015.0
Temple,1906.70515757,2015.0
Boise State,1906.44534491,2015.0
Davidson,1906.32519928,2015.0
Pittsburgh,1906.01975833,2016.0
Oklahoma State,1905.94051872,2013.0
Georgia Tech,1905.49427344,2016.0
South Carolina,1904.56269804,2017.0
Dayton,1903.4111233,2015.0
Nebraska,1900.58560931,2014.0
Butler,1900.36332337,2015.0
Virginia Tech,1900.26912517,2016.0
Clemson,1900.26878073,2017.0
Memphis,1899.69892314,2012.0
Purdue,1898.91397042,2015.0
Saint Joseph's,1898.72937717,2014.0
Vermont,1898.59188632,2017.0
Wichita State,1898.25773527,2012.0
Ohio State,1896.17970612,2011.0
Texas Tech,1895.38394868,2016.0
San Diego State,1894.96940782,2011.0
New Mexico,1894.79987089,2012.0
Oregon State,1894.07500423,2016.0
Texas,1894.03499539,2015.0
Virginia Commonwealth,1894.02326525,2012.0
Creighton,1893.58640858,2013.0
St. Bonaventure,1891.31964638,2016.0
Mississippi,1891.12598134,2017.0
Mississippi,1890.08087239,2013.0
Louisville,1890.00061624,2012.0
Vanderbilt,1888.9306556,2016.0
North Carolina State,1888.91401072,2014.0
Brigham Young,1886.46974037,2014.0
Texas,1885.88247646,2014.0
South Carolina,1885.62249512,2016.0
Pittsburgh,1884.93164745,2013.0
Syracuse,1883.87349499,2015.0
Nevada-Las Vegas,1883.72179589,2013.0
Brigham Young,1883.21725886,2017.0
Belmont,1882.59137504,2013.0
Alabama,1882.22455376,2017.0
Valparaiso,1882.20395961,2016.0
Illinois,1879.93632756,2017.0
Vanderbilt,1879.39804466,2012.0
Syracuse,1879.08057954,2016.0
Colorado State,1879.02441747,2017.0
Butler,1878.90294416,2013.0
Southern California,1877.63400326,2016.0
Baylor,1877.28302891,2012.0
Louisiana State,1874.938551,2015.0
Kentucky,1873.68216244,2013.0
Florida State,1872.98683,2016.0
Brigham Young,1872.97135123,2016.0
Murray State,1872.80493164,2015.0
Tulsa,1869.83765329,2016.0
San Diego State,1869.5343073,2012.0
Hawaii,1869.43200302,2016.0
Southern Mississippi,1869.40299347,2014.0
Gonzaga,1868.38470444,2012.0
Houston,1867.81078406,2017.0
Miami (FL),1866.66162641,2015.0
North Dakota State,1866.65197407,2014.0
Illinois,1866.45601674,2014.0
Valparaiso,1866.40618598,2015.0
Kansas State,1865.70741045,2014.0
Cincinnati,1864.72915886,2012.0
Florida,1864.24562297,2015.0
Florida,1864.11368163,2016.0
Fresno State,1863.96969574,2017.0
Tennessee,1863.96232115,2014.0
Colorado,1863.73074535,2014.0
Texas A&M,1863.69089591,2017.0
UCLA,1863.56263135,2013.0
Pittsburgh,1863.25889288,2017.0
Georgia Tech,1863.16211441,2017.0
Oklahoma State,1863.04887932,2014.0
Louisiana State,1862.50115859,2016.0
Temple,1861.85557623,2013.0
Creighton,1861.29201698,2012.0
Saint Mary's (CA),1860.8382492,2012.0
South Dakota State,1860.738913,2016.0
Stanford,1860.18047144,2014.0
Wisconsin,1859.39513258,2012.0
Marquette,1859.21294903,2016.0
East Tennessee State,1858.68336117,2017.0
Richmond,1858.37426832,2017.0
Oregon,1857.50749263,2013.0
Louisiana Tech,1857.50603084,2014.0
Texas Christian,1857.35148579,2017.0
Colorado State,1855.84506069,2013.0
Marquette,1855.23699849,2012.0
Alabama-Birmingham,1853.20550198,2016.0
New Mexico State,1853.13975359,2017.0
Cincinnati,1852.86041476,2013.0
Alabama,1852.85322575,2016.0
Houston,1851.79856172,2016.0
St. John's (NY),1851.36865334,2014.0
George Washington,1851.28552071,2017.0
Davidson,1851.27280648,2016.0
Davidson,1850.98233517,2013.0
Duke,1850.94293852,2011.0
Iowa State,1850.17373692,2013.0
Monmouth,1850.00365931,2017.0
Arizona,1849.19947351,2013.0
North Carolina State,1848.30228013,2013.0
Tulsa,1847.83781145,2014.0
George Washington,1847.66005401,2014.0
Stanford,1847.60778347,2016.0
Michigan,1847.20766414,2015.0
Missouri,1846.98709483,2013.0
Wyoming,1846.75667446,2015.0
Washington,1846.71745518,2016.0
Xavier,1844.95983558,2014.0
Central Florida,1844.85369161,2017.0
Mississippi,1844.28605237,2016.0
Ohio State,1843.39263904,2017.0
Florida State,1842.23117038,2015.0
Valparaiso,1840.8271357,2013.0
Utah State,1839.35260582,2011.0
Akron,1838.67257068,2013.0
Middle Tennessee,1838.47551309,2013.0
Chattanooga,1838.33836182,2016.0
Illinois,1837.98317917,2015.0
Michigan,1837.54165922,2012.0
Minnesota,1837.41171801,2014.0
Arizona State,1836.9805673,2017.0
Harvard,1836.8880494,2014.0
North Carolina-Wilmington,1836.88012309,2016.0
Dayton,1836.51615499,2014.0
Louisiana Tech,1835.69841041,2015.0
Valparaiso,1834.89515052,2017.0
Mississippi,1834.63778798,2015.0
North Carolina,1833.86074917,2011.0
Rhode Island,1833.51476422,2015.0
San Diego State,1832.35931517,2013.0
Yale,1832.13757757,2016.0
Stanford,1831.88831668,2015.0
Southern Mississippi,1831.17143192,2013.0
Tennessee,1830.99410079,2013.0
Evansville,1829.82242502,2016.0
Oklahoma State,1829.60223842,2015.0
Indiana,1828.74239806,2015.0
Brigham Young,1828.4570599,2011.0
Oklahoma,1828.09167257,2017.0
Akron,1827.52922776,2017.0
North Carolina State,1827.38541911,2016.0
Memphis,1826.70250512,2015.0
Temple,1825.99145315,2012.0
Pittsburgh,1825.99090669,2015.0
George Washington,1825.84760447,2016.0
Florida State,1824.97871756,2014.0
Buffalo,1824.13312783,2015.0
Utah,1823.95688234,2014.0
Massachusetts,1823.8782921,2014.0
Texas Tech,1823.76701806,2017.0
New Mexico State,1823.23055012,2013.0
Kansas State,1822.53283483,2016.0
Notre Dame,1822.50361308,2012.0
Arkansas,1821.83416629,2016.0
Wichita State,1821.82160034,2013.0
Georgia,1821.35850955,2014.0
Vanderbilt,1820.96846871,2015.0
Florida,1820.76264964,2012.0
Drexel,1820.62352757,2012.0
Old Dominion,1820.60862539,2011.0
Middle Tennessee,1820.25109923,2014.0
UC-Irvine,1819.57696541,2016.0
Clemson,1819.16247133,2016.0
Connecticut,1819.05330072,2017.0
Harvard,1818.29538867,2015.0
Kent State,1817.30768867,2017.0
Missouri,1816.74813399,2014.0
Creighton,1815.69999561,2016.0
Brigham Young,1813.73434825,2012.0
Connecticut,1813.48600276,2013.0
Middle Tennessee,1812.83120151,2016.0
Winthrop,1812.32043187,2017.0
Indiana,1812.21057339,2014.0
Villanova,1812.05109327,2013.0
North Dakota State,1811.93727161,2015.0
Georgetown,1811.04796968,2014.0
Arizona State,1810.61366722,2014.0
Tennessee,1810.47749411,2017.0
Oral Roberts,1809.66102662,2012.0
Arkansas,1808.79789445,2014.0
Northwestern,1808.38633816,2016.0
Arkansas-Little Rock,1808.35604111,2016.0
Belmont,1807.58787924,2012.0
Minnesota,1807.09884903,2015.0
Green Bay,1806.75894712,2016.0
Iowa,1806.55998777,2014.0
Arizona State,1806.4957128,2015.0
Southern Methodist,1806.45081978,2014.0
Nevada-Las Vegas,1806.30479621,2012.0
Marquette,1806.19191445,2014.0
Indiana,1806.07336712,2012.0
Kentucky,1805.96449964,2011.0
Akron,1805.80776663,2016.0
Montana,1805.64536077,2013.0
Richmond,1805.56499781,2015.0
Western Michigan,1805.36139811,2014.0
Wofford,1805.14705693,2015.0
Harvard,1804.34578122,2012.0
Bucknell,1804.28150526,2013.0
Georgetown,1804.20611826,2012.0
Oakland,1804.18857802,2017.0
Penn State,1803.94919551,2016.0
South Dakota State,1803.92898357,2012.0
Texas A&M,1803.81558083,2015.0
Illinois State,1803.66387677,2015.0
Davidson,1803.44000994,2017.0
UCLA,1803.22886891,2016.0
San Diego State,1802.82044443,2017.0
Florida Gulf Coast,1800.64890445,2017.0
Florida,1800.61364833,2011.0
Iowa,1800.11406982,2013.0
Notre Dame,1800.02788877,2011.0
St. Bonaventure,1799.8544762,2017.0
South Carolina,1799.16486452,2015.0
