TEAM,ELO,YEAR
NJIT,1474.2360670904457,2011
Alabama State,1569.316642949938,2011
Virginia Intermont,1419.6132620875828,2011
Maine,1373.5804357288014,2011
Western New Mexico,1417.5704000381565,2011
Princeton,1762.054326444014,2011
St. Gregory's,1419.6027084994403,2011
Evansville,1524.4636271469542,2011
Oregon,1555.5592112566455,2011
Jacksonville,1500.6854726918039,2011
North Carolina Wesleyan,1442.3395090986105,2011
Greensboro,1468.8337360889443,2011
Marywood,1457.361054956101,2011
New Hampshire,1320.8528405481627,2011
Houghton,1475.6269428796422,2011
Wayland Baptist,1454.8863425398354,2011
IPFW,1508.1567380771478,2011
North Carolina State,1497.1696744065396,2011
Talladega,1438.957888380039,2011
Kentucky,1850.121724262206,2011
Webber,1437.3101148447258,2011
Stetson,1268.9809961278374,2011
Huntington,1470.0,2011
Central Baptist,1439.3226183283407,2011
Pennsylvania,1485.6411522627295,2011
Redlands,1463.516844498884,2011
North Dakota,1552.6629206453276,2011
Oral Roberts,1666.2639869633547,2011
Pacific,1413.8012333856495,2011
Alabama A&M,1355.4783516927132,2011
Murray State,1693.8672352211008,2011
UC-Davis,1341.4772281857454,2011
Oakland,1792.9461874094725,2011
Mount St. Mary's,1398.6824237780772,2011
American International,1479.0603533622618,2011
Thomas More,1483.3580706204461,2011
Sacred Heart,1381.941260175303,2011
Saginaw Valley State,1467.6681660368452,2011
Minnesota,1477.6582451201073,2011
James Madison,1618.0113893545135,2011
William & Mary,1437.711154681526,2011
Toccoa Falls,1466.7490041534045,2011
Oberlin,1456.2644314346098,2011
Florida,1834.5133099746276,2011
Texas-Tyler,1433.1125464244922,2011
Purdue North Central,1470.0,2011
Duquesne,1536.9352843243084,2011
Gardner-Webb,1412.9989436389376,2011
Vanderbilt,1709.340944230109,2011
Boston University,1666.7979561524764,2011
Concordia (MI),1478.013737825667,2011
Kean,1435.676052022536,2011
North Florida,1543.7459572117273,2011
Louisiana College,1408.4409127625242,2011
Akron,1700.9656780732564,2011
Erskine,1470.0,2011
Eastern Kentucky,1436.4795755302273,2011
Toledo,1166.5699019982762,2011
Oregon State,1438.8372242078804,2011
South Florida,1459.1007370872437,2011
Weber State,1548.8939361507892,2011
Southeastern Louisiana,1511.489012848126,2011
Emory & Henry,1470.0,2011
Truman State,1470.0,2011
St. Mary's (MD),1464.221937461333,2011
Utah,1510.7176280161113,2011
Boston College,1652.8117285080443,2011
Green Bay,1459.8460988431407,2011
Long Island University,1787.3653547147703,2011
Tabor College,1434.79252847603,2011
Rhode Island,1574.4959875385694,2011
North Dakota State,1458.069538084851,2011
