Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
16901,Marcus Thornton\marcus-thornton-3,G,2015-02-25,William & Mary,,Towson,W,1,37,7,15,.467,3,7,.429,4,8,.500,5,6,.833,0,1,1,2,0,0,2,0,23,14.6
16902,Jalen Hudson\jalen-hudson-1,G,2015-02-25,Virginia Tech,,Duke,L,0,30,9,20,.450,6,16,.375,3,4,.750,2,2,1.000,4,2,6,0,0,1,2,0,23,14.7
16903,Jameel Warney\jameel-warney-1,F,2015-02-25,Stony Brook,,Massachusetts-Lowell,W,1,34,10,15,.667,10,15,.667,0,0,,3,3,1.000,3,9,12,1,1,2,2,3,23,21.2
16904,Tre Demps\tre-demps-1,G,2015-02-25,Northwestern,,Indiana,W,1,35,8,12,.667,6,6,1.000,2,6,.333,5,6,.833,0,2,2,3,0,0,2,1,23,17.7
16905,Ron Curry\ron-curry-1,G,2015-02-25,James Madison,@,North Carolina-Wilmington,L,1,39,8,16,.500,3,9,.333,5,7,.714,2,3,.667,0,2,2,1,1,0,2,2,23,14.1
16906,Maurice Ndour\maurice-ndour-1,F,2015-02-24,Ohio,,Bowling Green State,L,1,35,8,18,.444,5,12,.417,3,6,.500,4,4,1.000,3,4,7,0,1,1,4,2,23,13.8
16907,John Simons\john-simons-1,F,2015-02-24,Central Michigan,@,Eastern Michigan,W,1,37,8,13,.615,1,2,.500,7,11,.636,0,0,,3,4,7,1,1,0,0,3,23,20.9
16908,Xavier Richards\xavier-richards-1,G,2015-02-23,Tennessee State,,Morehead State,L,1,38,7,11,.636,7,11,.636,0,0,,9,11,.818,2,2,4,2,1,0,1,0,23,20.7
16909,DaVonte Lacy\davonte-lacy-1,G,2015-02-22,Washington State,,Washington,L,1,32,6,15,.400,2,8,.250,4,7,.571,7,8,.875,0,2,2,1,0,0,1,2,23,14.0
16910,Marcus Thornton\marcus-thornton-3,G,2015-02-22,William & Mary,@,Hofstra,W,1,39,8,18,.444,7,11,.636,1,7,.143,6,8,.750,0,3,3,4,0,0,0,0,23,16.5
16911,Kevin Ferguson\kevin-ferguson-1,C,2015-02-22,Army,,American,W,1,30,9,11,.818,9,11,.818,0,0,,5,8,.625,2,10,12,0,0,3,1,3,23,22.0
16912,Isaiah Taylor\isaiah-taylor-1,G,2015-02-21,Texas,,Iowa State,L,1,40,8,18,.444,6,15,.400,2,3,.667,5,6,.833,1,1,2,7,0,0,4,4,23,13.5
16913,David Kravish\david-kravish-1,F,2015-02-21,University of California,@,Stanford,L,1,37,9,14,.643,9,14,.643,0,0,,5,6,.833,2,10,12,0,0,1,1,3,23,19.3
16914,Jalen Cannon\jalen-cannon-1,F,2015-02-21,St. Francis (NY),,Saint Francis (PA),W,1,38,8,14,.571,7,9,.778,1,5,.200,6,6,1.000,3,12,15,1,0,0,3,0,23,19.8
16915,Darryl Gaynor\darryl-gaynor-1,G,2015-02-21,San Jose State,,San Diego State,L,1,38,9,19,.474,5,10,.500,4,9,.444,1,2,.500,2,1,3,4,2,0,7,3,23,11.2
16916,Stacy Davis\stacy-davis-1,F,2015-02-21,Pepperdine,,San Francisco,L,1,36,8,13,.615,8,13,.615,0,0,,7,8,.875,5,7,12,1,1,1,1,3,23,22.5
16917,Anthony Johnson\anthony-johnson-6,G,2015-02-21,Northern Illinois,,Eastern Michigan,L,1,33,7,13,.538,2,5,.400,5,8,.625,4,4,1.000,0,2,2,3,1,0,3,3,23,16.2
16918,Aaseem Dixon\aaseem-dixon-1,G,2015-02-21,Northern Arizona,,Eastern Washington,W,1,37,9,16,.563,5,10,.500,4,6,.667,1,1,1.000,2,5,7,1,1,0,1,1,23,18.6
16919,Perry Ellis\perry-ellis-1,F,2015-02-21,Kansas,,Texas Christian,W,1,35,9,10,.900,9,10,.900,0,0,,5,10,.500,1,6,7,2,2,0,3,3,23,19.3
16920,Steve Moundou-Missi\steve-moundou-missi-1,F,2013-11-20,Harvard,,Bryant,W,1,27,10,15,.667,10,15,.667,0,0,,3,3,1.000,4,5,9,0,1,4,3,4,23,20.0
16921,Ovie Soko\ovie-soko-1,F,2013-11-20,Duquesne,,Albany (NY),W,1,35,9,18,.500,6,15,.400,3,3,1.000,2,2,1.000,5,8,13,5,2,2,5,4,23,20.2
16922,Sean Kilpatrick\sean-kilpatrick-1,G,2013-11-20,Cincinnati,,Campbell,W,1,32,9,12,.750,6,6,1.000,3,6,.500,2,2,1.000,0,3,3,1,3,0,0,2,23,22.0
16923,Nick King\nick-king-1,F,2013-11-19,Memphis,@,Oklahoma State,L,0,15,8,12,.667,7,10,.700,1,2,.500,6,9,.667,4,4,8,0,1,0,0,3,23,20.4
16924,Gavin Ware\gavin-ware-1,F,2013-11-19,Mississippi State,,Mississippi Valley State,W,1,26,8,11,.727,8,11,.727,0,0,,7,11,.636,3,8,11,0,0,1,1,1,23,20.7
16925,Glenn Cosey\glenn-cosey-1,G,2013-11-19,Eastern Kentucky,,Alabama A&M,W,1,38,5,13,.385,2,7,.286,3,6,.500,10,10,1.000,0,3,3,2,2,0,1,3,23,18.0
16926,Luke Eddy\luke-eddy-1,G,2013-11-19,Elon,,Canisius,L,0,23,5,10,.500,3,7,.429,2,3,.667,11,11,1.000,0,1,1,1,0,0,1,4,23,16.4
16927,Lucas Troutman\lucas-troutman-1,F,2013-11-19,Elon,,Canisius,L,1,36,8,16,.500,8,16,.500,0,0,,7,10,.700,2,4,6,2,0,0,4,4,23,12.2
16928,Julysses Nobles\julysses-nobles-1,G,2013-11-18,Jackson State,@,Wyoming,L,1,39,8,22,.364,6,16,.375,2,6,.333,5,7,.714,1,0,1,3,3,0,1,4,23,13.2
16929,Hyjii Thomas\hyjii-thomas-1,G,2013-11-18,Texas-San Antonio,,McMurry,L,1,38,6,11,.545,5,8,.625,1,3,.333,10,14,.714,3,4,7,2,2,0,4,1,23,18.4
16930,Tanner Milson\tanner-milson-1,G,2013-11-18,North Carolina-Wilmington,@,Liberty,W,0,30,5,7,.714,0,0,,5,7,.714,8,9,.889,0,1,1,0,2,0,3,3,23,17.8
16931,Duane Gibson\duane-gibson-1,G,2013-11-18,Evansville,,Mercer,W,1,33,6,9,.667,6,9,.667,0,0,,11,12,.917,2,5,7,6,0,0,1,2,23,24.0
16932,Lucas Troutman\lucas-troutman-1,F,2013-11-18,Elon,,Drexel,L,1,28,8,13,.615,8,13,.615,0,0,,7,7,1.000,1,2,3,1,0,2,1,2,23,18.7
16933,Arthur Capers\arther-capers-1,F,2013-11-17,Alabama A&M,@,Western Michigan,L,0,23,9,14,.643,4,6,.667,5,8,.625,0,1,.000,1,3,4,0,0,0,1,3,23,15.8
16934,Maurice Ndour\maurice-ndour-1,F,2013-11-17,Ohio,,Valparaiso,W,1,29,9,13,.692,8,12,.667,1,1,1.000,4,7,.571,1,5,6,1,4,5,2,4,23,23.1
16935,Dez Wells\dezmine-wells-1,G,2013-11-17,Maryland,,Oregon State,L,1,31,7,16,.438,6,12,.500,1,4,.250,8,8,1.000,4,1,5,0,1,0,3,4,23,14.1
16936,Patrick Miller\patrick-miller-2,G,2013-11-16,Tennessee State,@,Wichita State,L,1,39,9,20,.450,6,14,.429,3,6,.500,2,3,.667,0,2,2,2,3,0,1,1,23,15.8
16937,Billy Baron\billy-baron-1,G,2013-11-16,Canisius,@,St. Bonaventure,L,1,37,8,19,.421,8,17,.471,0,2,.000,7,7,1.000,0,1,1,4,1,0,3,1,23,13.6
16938,Jalen Jackson\jalen-jackson-1,F,2013-11-16,Central Arkansas,@,Southern Illinois-Edwardsville,L,1,37,6,10,.600,3,5,.600,3,5,.600,8,10,.800,3,5,8,4,1,1,2,4,23,22.1
16939,Sean McGonagill\sean-mcgonagill-1,G,2013-11-16,Brown,@,Sacred Heart,W,1,39,8,14,.571,5,8,.625,3,6,.500,4,6,.667,0,2,2,1,5,0,1,3,23,19.7
16940,Chris Evans\chris-evans-2,G,2013-11-16,Sacred Heart,,Brown,L,1,29,6,12,.500,4,9,.444,2,3,.667,9,10,.900,1,3,4,2,3,0,1,2,23,20.8
16941,T.J. Warren\tj-warren-1,F,2013-11-16,North Carolina State,,Campbell,W,1,38,10,20,.500,8,15,.533,2,5,.400,1,4,.250,2,1,3,0,3,1,1,3,23,15.0
16942,Tom Tankelewicz\tom-tankelewicz-1,F,2013-11-16,Western Carolina,@,Liberty,W,0,27,7,11,.636,3,4,.750,4,7,.571,5,5,1.000,2,1,3,1,1,0,0,0,23,21.5
16943,Darion Rackley\darion-rackley-1,G,2013-11-16,Jacksonville State,,Alabama State,L,1,40,6,14,.429,5,8,.625,1,6,.167,10,13,.769,3,2,5,1,0,0,6,4,23,10.2
16944,Spencer Collins\spencer-collins-1,G,2013-11-16,Wofford,@,Iona,L,1,33,8,12,.667,6,8,.750,2,4,.500,5,6,.833,1,1,2,1,1,0,1,2,23,18.3
16945,Reggie Smith\reggie-smith-2,C,2013-11-16,Eastern Illinois,@,Illinois-Chicago,W,1,31,7,13,.538,4,8,.500,3,5,.600,6,9,.667,0,2,2,6,2,0,2,1,23,19.9
16946,Jabari Brown\jabari-brown-1,G,2013-11-16,Missouri,,Hawaii,W,1,38,8,13,.615,5,7,.714,3,6,.500,4,6,.667,2,3,5,1,1,1,1,1,23,19.6
16947,Jelani Hewitt\jelani-hewitt-1,G,2013-11-16,Georgia Southern,,Toccoa Falls,W,1,25,8,15,.533,4,6,.667,4,9,.444,3,4,.750,1,5,6,7,7,0,3,1,23,26.0
16948,Sherrod Wright\sherrod-wright-1,G,2013-11-16,George Mason,,Northern Iowa,W,1,37,9,17,.529,8,15,.533,1,2,.500,4,6,.667,2,3,5,2,0,1,3,3,23,14.1
16949,Cleveland Melvin\cleveland-melvin-1,F,2013-11-16,DePaul,,Wright State,W,1,36,8,10,.800,7,8,.875,1,2,.500,6,6,1.000,4,9,13,1,0,1,2,2,23,23.3
16950,Chris Fowler\chris-fowler-1,G,2013-11-16,Central Michigan,,Pepperdine,L,1,26,9,18,.500,9,17,.529,0,1,.000,5,6,.833,0,2,2,4,0,0,3,3,23,12.8
16951,Brandon Clark\brandon-clark-1,G,2013-11-16,Santa Clara,@,Cal State Fullerton,L,1,33,7,22,.318,6,16,.375,1,6,.167,8,10,.800,3,3,6,3,2,0,2,3,23,13.5
16952,Javorn Farrell\javorn-farrell-2,G,2013-11-15,Texas-Rio Grande Valley,,Tennessee Tech,W,1,28,7,16,.438,6,12,.500,1,4,.250,8,10,.800,0,2,2,1,0,1,3,2,23,12.0
16953,Marcus Paige\marcus-paige-1,G,2013-11-15,North Carolina,,Holy Cross,W,1,36,8,17,.471,5,9,.556,3,8,.375,4,4,1.000,1,4,5,3,2,1,2,2,23,18.2
16954,Andrew Rowsey\andrew-rowsey-1,G,2013-11-15,North Carolina-Asheville,@,College of Charleston,W,1,44,8,11,.727,5,5,1.000,3,6,.500,4,4,1.000,0,3,3,2,0,0,2,2,23,18.0
16955,Gary Stewart\gary-stewart-2,G,2013-11-15,Northwestern State,@,Auburn,W,1,35,7,11,.636,2,3,.667,5,8,.625,4,4,1.000,1,1,2,0,0,1,1,0,23,18.8
16956,Kareem Jamar\kareem-jamar-1,G,2013-11-14,Montana,@,South Dakota State,W,1,40,8,14,.571,5,8,.625,3,6,.500,4,8,.500,0,12,12,8,0,0,3,3,23,19.8
16957,Nick Johnson\nick-johnson-1,G,2013-11-14,Arizona,@,San Diego State,W,1,31,8,15,.533,7,9,.778,1,6,.167,6,8,.750,1,3,4,1,0,2,2,4,23,15.0
16958,Marshall Bjorklund\marshall-bjorklund-1,F,2013-11-14,North Dakota State,@,Saint Mary's (CA),L,1,20,10,14,.714,10,14,.714,0,0,,3,4,.750,3,1,4,1,1,0,2,4,23,17.3
16959,Mike Caffey\michael-caffey-1,G,2013-11-14,Long Beach State,,Loyola Marymount,L,1,38,7,11,.636,6,8,.750,1,3,.333,8,12,.667,0,5,5,7,3,0,5,5,23,18.9
16960,Jamie Adams\jamie-adams-1,G,2013-11-14,Florida A&M,,Stetson,W,1,33,7,10,.700,3,4,.750,4,6,.667,5,8,.625,0,1,1,2,1,0,4,4,23,14.7
16961,Julius Brown\julius-brown-2,G,2013-11-14,Toledo,@,Boston College,W,1,31,8,14,.571,8,12,.667,0,2,.000,7,8,.875,0,2,2,10,3,0,1,4,23,24.0
16962,J.J. Mann\jj-mann-1,G,2013-11-14,Belmont,,Indiana State,W,1,35,6,9,.667,5,7,.714,1,2,.500,10,12,.833,0,6,6,0,3,0,3,3,23,18.9
16963,Jake Odum\jake-odum-1,G,2013-11-14,Indiana State,@,Belmont,L,1,32,6,14,.429,6,12,.500,0,2,.000,11,12,.917,1,5,6,5,0,0,5,4,23,14.3
16964,John Brown\john-brown-3,F,2015-03-18,High Point,,Maryland-Eastern Shore,W,1,30,6,13,.462,6,12,.500,0,1,.000,11,12,.917,3,4,7,0,0,0,0,3,23,18.0
16965,Josh Scott\josh-scott-2,F,2015-03-18,Colorado,,Gardner-Webb,W,1,29,10,16,.625,10,16,.625,0,0,,3,4,.750,9,6,15,2,0,0,2,3,23,21.7
16966,Derrick Marks\derrick-marks-1,G,2015-03-18,Boise State,,Dayton,L,1,37,10,21,.476,8,15,.533,2,6,.333,1,4,.250,2,1,3,3,3,0,2,3,23,14.7
16967,Marcus Thornton\marcus-thornton-3,G,2015-03-17,William & Mary,@,Tulsa,L,1,38,8,24,.333,4,10,.400,4,14,.286,3,3,1.000,1,2,3,0,1,0,1,1,23,10.3
16968,Chase Fischer\chase-fischer-1,G,2015-03-17,Brigham Young,,Mississippi,L,1,34,7,14,.500,1,2,.500,6,12,.500,3,4,.750,0,5,5,2,0,0,1,2,23,16.7
16969,Tim Coleman\tim-coleman-2,F,2015-03-16,NJIT,,New Hampshire,W,1,32,7,12,.583,5,7,.714,2,5,.400,7,10,.700,2,5,7,1,1,3,1,4,23,20.3
16970,Martin Breunig\martin-breunig-1,F,2015-03-14,Montana,,Eastern Washington,L,1,35,8,12,.667,8,12,.667,0,0,,7,8,.875,5,12,17,1,2,2,2,4,23,25.0
16971,Antoine Mason\antoine-mason-1,G,2015-03-14,Auburn,,Kentucky,L,1,33,7,14,.500,4,10,.400,3,4,.750,6,10,.600,1,3,4,1,0,0,0,1,23,16.3
