,YEAR,ROUND,SEED,TEAM,SCORE,OPP_SEED,OPPONENT,OPP_SCORE,RESULT,ELO,OPP_ELO,ELOSCORE
0,2016,Play-In,16,Fairleigh Dickinson,65,16,Florida Gulf Coast,96,LOSS,1503.12958168,1640.88020165,1
1,2016,First Round,1,North Carolina,83,16,Florida Gulf Coast,67,WIN,2177.41161902,1640.88020165,1
2,2016,Sweet 16,3,Miami (FL),69,2,Villanova,92,LOSS,2072.45560869,2165.66446411,1
3,2016,Elite Eight,1,Kansas,59,2,Villanova,64,LOSS,2247.9838785,2165.66446411,-1
4,2016,First Round,3,Miami (FL),79,14,Buffalo,72,WIN,2072.45560869,1773.94706377,1
5,2016,First Round,7,Dayton,51,10,Syracuse,70,LOSS,1943.48753593,1879.08057954,-1
6,2016,Elite Eight,1,Virginia,62,10,Syracuse,68,LOSS,2155.26037464,1879.08057954,-1
7,2016,Sweet 16,11,Gonzaga,60,10,Syracuse,63,LOSS,2047.23701784,1879.08057954,-1
8,2016,Final Four,1,North Carolina,83,10,Syracuse,66,WIN,2177.41161902,1879.08057954,1
9,2016,Second Round,12,Arkansas-Little Rock,61,4,Iowa State,78,LOSS,1808.35604111,1967.76361147,1
10,2016,Sweet 16,1,Virginia,84,4,Iowa State,71,WIN,2155.26037464,1967.76361147,1
11,2016,First Round,6,Seton Hall,52,11,Gonzaga,68,LOSS,2059.62618949,2047.23701784,-1
12,2016,First Round,3,West Virginia,56,14,Stephen F. Austin,70,LOSS,2085.54611704,1961.06869025,-1
13,2016,Second Round,6,Notre Dame,76,14,Stephen F. Austin,75,WIN,2009.35803602,1961.06869025,1
14,2016,Sweet 16,3,Texas A&M,63,2,Oklahoma,77,LOSS,2015.35201149,2078.49693657,1
15,2016,Elite Eight,1,Oregon,68,2,Oklahoma,80,LOSS,2158.84607299,2078.49693657,-1
16,2016,Final Four,2,Villanova,95,2,Oklahoma,51,WIN,2165.66446411,2078.49693657,1
17,2016,Second Round,3,Texas A&M,92,11,Northern Iowa,88,WIN,2015.35201149,1940.54482938,1
18,2016,First Round,6,Texas,72,11,Northern Iowa,75,LOSS,1980.88474787,1940.54482938,-1
19,2016,First Round,3,Texas A&M,92,14,Green Bay,65,WIN,2015.35201149,1806.75894712,1
20,2016,Second Round,1,Oregon,69,8,Saint Joseph's,64,WIN,2158.84607299,1943.82218191,1
21,2016,Sweet 16,1,Oregon,82,4,Duke,68,WIN,2158.84607299,2063.19210429,1
22,2016,Second Round,12,Yale,64,4,Duke,71,LOSS,1832.13757757,2063.19210429,1
23,2016,First Round,1,Oregon,91,16,Holy Cross,52,WIN,2158.84607299,1480.7375662,1
24,2016,First Round,4,University of California,66,13,Hawaii,77,LOSS,2018.4909664000002,1869.43200302,-1
25,2016,Second Round,5,Maryland,73,13,Hawaii,60,WIN,2009.83981959,1869.43200302,1
